CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS
0,0,1,0,202500.0,2,1,2,4,-16834,-1692,0,11,1,0
1,1,0,0,675000.0,0,3,1,4,-18126,-948,0,10,2,0
0,0,0,0,234000.0,2,3,0,4,-21967,-5215,0,3,2,0
0,1,1,0,445500.0,0,3,1,4,-12477,-456,0,10,2,0
0,1,0,0,225000.0,4,1,1,5,-12155,-667,0,8,2,0
0,0,1,0,94500.0,4,1,1,4,-18131,-617,0,8,2,0
0,0,1,0,180000.0,1,1,1,4,-22115,365243,0,18,2,0
1,1,0,0,67500.0,4,1,1,4,-22407,-2174,0,8,2,0
0,0,0,0,189000.0,4,1,1,5,-18452,-137,0,8,2,0
0,0,1,0,225000.0,4,3,1,4,-16202,-2939,1,10,2,0
1,0,0,0,157500.0,4,1,1,4,-17340,-3596,0,10,2,0
0,0,1,0,292500.0,0,3,0,4,-14522,-1552,0,8,2,0
0,0,1,0,54000.0,1,1,1,4,-24367,365243,0,18,2,0
0,1,1,0,405000.0,4,2,0,4,-12458,-2076,1,14,2,0
1,0,1,0,180000.0,4,2,3,4,-10305,-210,0,8,1,0
0,1,1,0,67500.0,4,1,1,4,-19182,-900,0,18,2,0
0,0,1,0,180000.0,4,1,1,4,-21911,-744,1,18,2,0
1,1,0,1,202500.0,4,1,1,4,-9109,-595,0,8,3,0
0,0,1,0,90000.0,2,1,0,4,-15945,-3673,1,3,2,0
0,1,1,1,67500.0,0,1,1,4,-11909,-3553,0,18,3,0
0,0,0,0,247500.0,1,3,1,4,-18998,365243,0,18,2,0
1,0,0,0,157500.0,0,3,0,4,-9361,-164,1,17,2,0
1,1,1,0,202500.0,4,3,1,4,-12648,-2132,0,18,2,0
0,0,0,0,135000.0,0,3,1,0,-15360,-413,0,3,2,0
1,1,1,0,180000.0,0,1,1,5,-13671,-473,1,8,2,0
0,0,1,0,202500.0,1,1,4,4,-21824,365243,0,18,1,0
1,0,0,0,225000.0,4,1,3,4,-15168,-200,0,6,1,0
0,0,1,0,171000.0,4,1,1,4,-15629,-356,0,14,2,0
0,0,1,1,33300.0,1,1,1,4,-22784,365243,0,18,3,0
1,1,1,0,252000.0,0,3,1,4,-13796,-2682,0,4,2,0
0,0,0,0,256500.0,0,3,1,4,-11212,-2565,0,5,2,0
1,1,1,1,315000.0,4,3,1,4,-10580,-2566,0,3,3,0
1,0,1,1,562500.0,4,2,1,4,-13790,-5639,1,18,3,0
0,1,1,0,189000.0,4,1,1,4,-18891,-477,0,6,2,0
1,1,1,0,180000.0,4,1,3,4,-18475,-1782,0,1,1,0
1,1,1,0,225000.0,4,1,1,4,-18437,-2499,1,10,2,0
0,0,1,0,112500.0,4,1,1,4,-14601,-7900,0,8,2,0
0,0,0,0,270000.0,1,1,4,4,-21861,365243,0,18,1,0
