CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS
0,0,0,0,135000.0,4,1,1,4,-13566,-1900,1,6,2,0
1,1,1,0,315000.0,4,3,3,4,-10328,-543,0,6,1,0
0,1,1,0,315000.0,0,1,2,4,-18184,-3021,0,8,1,0
0,0,1,1,180000.0,2,1,3,4,-13467,-3850,0,11,2,0
1,1,0,1,247500.0,4,1,1,4,-13086,-1931,0,8,3,0
1,1,0,0,112500.0,4,1,1,4,-10066,-834,0,8,2,0
1,1,1,1,247500.0,4,3,1,4,-9425,-232,0,14,3,0
0,0,1,0,180000.0,4,1,3,4,-16677,-9482,0,3,1,0
0,0,1,0,157500.0,0,1,4,4,-16873,-1626,0,3,1,0
1,0,1,1,99000.0,0,1,3,4,-18979,-4609,0,8,2,0
0,0,1,0,189000.0,1,3,2,4,-22655,365243,0,18,1,0
1,0,0,0,225000.0,0,3,1,0,-13021,-5082,1,10,2,0
0,1,0,0,112500.0,4,1,1,4,-14060,-7364,1,2,2,0
0,0,1,0,225000.0,4,1,1,4,-21144,-1692,0,14,2,0
0,0,1,0,90000.0,1,1,1,4,-21885,365243,0,18,2,0
1,1,1,0,351000.0,1,1,1,4,-22329,365243,0,18,2,0
0,0,0,0,135000.0,1,3,3,4,-21089,365243,0,18,1,0
0,0,1,0,180000.0,4,1,1,4,-17386,-888,0,8,2,0
0,1,1,1,279000.0,4,3,0,4,-16187,-3731,1,10,3,0
1,1,0,2,135000.0,4,3,1,0,-11645,-5056,0,8,4,0
1,1,1,0,131400.0,1,1,1,4,-23646,365243,0,18,2,0
1,1,1,1,360000.0,0,3,1,4,-16537,-410,0,8,3,0
0,0,0,0,67500.0,4,1,1,0,-15675,-8691,1,11,2,0
0,0,0,0,103500.0,4,1,2,4,-15715,-3657,1,2,1,0
0,0,1,0,94500.0,1,3,3,4,-22481,365243,0,18,1,0
0,0,0,0,180000.0,4,1,0,4,-18355,-1954,1,8,2,0
0,0,1,0,121500.0,1,1,1,4,-23784,365243,0,18,2,0
